file,line,type,commit,author,date,time,timezone,datetime,depth,length
projects/index.html,26,html,a93563b5,jyepez26,2025-04-04,16:00:08,-07:00,2025-04-04T16:00:08-07:00,0,6
projects/index.html,27,html,a93563b5,jyepez26,2025-04-04,16:00:08,-07:00,2025-04-04T16:00:08-07:00,0,6
project2page/project2_report.html,1,html,9a0c6875,jyepez26,2025-04-29,23:54:02,-07:00,2025-04-29T23:54:02-07:00,0,14
project2page/project2_report.html,2,html,9a0c6875,jyepez26,2025-04-29,23:54:02,-07:00,2025-04-29T23:54:02-07:00,0,15
project2page/project2_report.html,3,html,9a0c6875,jyepez26,2025-04-29,23:54:02,-07:00,2025-04-29T23:54:02-07:00,0,5
project2page/project2_report.html,4,html,9a0c6875,jyepez26,2025-04-29,23:54:02,-07:00,2025-04-29T23:54:02-07:00,0,30
project2page/project2_report.html,5,html,9a0c6875,jyepez26,2025-04-29,23:54:02,-07:00,2025-04-29T23:54:02-07:00,0,6
project2page/project2_report.html,6,html,9a0c6875,jyepez26,2025-04-29,23:54:02,-07:00,2025-04-29T23:54:02-07:00,0,6
project2page/project2_report.html,7,html,9a0c6875,jyepez26,2025-04-29,23:54:02,-07:00,2025-04-29T23:54:02-07:00,0,36
project2page/project2_report.html,8,html,9a0c6875,jyepez26,2025-04-29,23:54:02,-07:00,2025-04-29T23:54:02-07:00,0,36
project2page/project2_report.html,9,html,9a0c6875,jyepez26,2025-04-29,23:54:02,-07:00,2025-04-29T23:54:02-07:00,0,36
project2page/project2_report.html,10,html,9a0c6875,jyepez26,2025-04-29,23:54:02,-07:00,2025-04-29T23:54:02-07:00,0,36
project2page/project2_report.html,11,html,9a0c6875,jyepez26,2025-04-29,23:54:02,-07:00,2025-04-29T23:54:02-07:00,0,36
project2page/project2_report.html,12,html,9a0c6875,jyepez26,2025-04-29,23:54:02,-07:00,2025-04-29T23:54:02-07:00,0,36
project2page/project2_report.html,13,html,9a0c6875,jyepez26,2025-04-29,23:54:02,-07:00,2025-04-29T23:54:02-07:00,0,36
project2page/project2_report.html,14,html,9a0c6875,jyepez26,2025-04-29,23:54:02,-07:00,2025-04-29T23:54:02-07:00,0,36
project2page/project2_report.html,15,html,9a0c6875,jyepez26,2025-04-29,23:54:02,-07:00,2025-04-29T23:54:02-07:00,0,36
